http://www.yongche.com/register/success.php.*invite=.*&order=1&done=http://www.yongche.com/order/confirm.php.*id=10682&key=b8f3517272b382095437dd33cc749a7a&id=6197.*{}1096	1
http://www.yongche.com/register/success.php.*invite=.*&order=0&done=/&key=f7bf4872a4995c4725b8c424ac7f36a8&id=6192.*{}1096	1
http://www.yongche.com/register/success_corp.php.*name=ce111111&done=/corp&key=6c55f74a8ea81f29e7afea3528c0573b.*{}1096	1
http://.*.gtuan.com/usercenter.php.*a=register_step_email_check&is_reg=succes.*{}1123	1
(.*creditcard.ecitic.com/citiccard/cardishop/jsp/SucessInfo.jsp.*){}10297	1
.*member.pinganfang.com/user/register/success.html.*{}12840	1
http://www.yongche.com/order/confirm.php.*id=10681.*{}1096	1
.*m.yougou.com/index.php/register/integal/message/.*{}10759	1
http://www.yougou.com/toActiveRegisterEmail.jhtml{}10759	1
.*play.lieguo.com/quickreg/complete/profile.php.*{}1167	1
http://www.yougou.com/mobileRegisterAccount.jhtml{}10759	1
http://www.yongche.com/order/prepare_pay.php.*{}1096	1
.*.(redbaby|binggo).com.*shoppingcart.htm.*{}921	1
.*.(redbaby|binggo).com.*ordersuccess.htm.*{}921	1
.*.(redbaby|binggo).com.*addsuccess.htm.*{}921	1
http://www.yougou.com/continueOrder.jhtml{}10759	1
(.*www.dflkjas.com.*)|(.*www.zhuce.com.*){}10283	1
http://www.doodays.com/flow/add-order/.*{}1087	1
http://www.doodays.com/payment/respond.*{}1087	1
.*.(redbaby|binggo).com.*orderinfo.htm.*{}921	1
.*.(redbaby|binggo).com.*register.htm.*{}921	1
.*.(redbaby|binggo).com.*activate.htm.*{}921	1
http://www.doodays.com/flow/payment/.*{}1087	1
http://www.doodays.com/auth/register.*{}1087	1
.*m.yougou.com/index.php/car/index.*{}10759	1
http://www.doodays.com/flow/order/.*{}1087	1
http://www.doodays.com/flow/index/.*{}1087	1
http://www.doodays.com/login.html.*{}1087	1
http://www.doodays.com/flow/addr/.*{}1087	1
.*www.adsage.cn/industry_94.html.*{}23110	1
http://www.yougou.com/order.jhtml{}10759	1
http://www.doodays.com/reg.html.*{}1087	1
http://www.longxingshunda.com{}12518	1
.*fenpier.com/i/cart/pay.*{}1089	1
http://www.dfkjlsf.com{}10556	1
.*466nk.466nanke.com.*{}11378	1
.*www.lilun.copcm.*{}17149	1
.*www.product.com.*{}11050	1
.*www.test28.com.*{}10556	1
.*pinganfang.com.*{}12840	1
http://www.qq.com{}12177	1
.*www.baidu.com.*{}11120	1
.*www.kekek.com.*{}17149	1
.*www.plus.com.*{}22468	1
www.test.comssss{}1086	1
.*www.bbb.com.*{}17149	1
.*www.223.com.*{}20437	1
.*www.add.com.*{}17922	1
.*www.ad.com.*{}17924	1
.*www.cc.com.*{}17149	1
.*www.wa.com.*{}11065	1
.*wyn88.com.*{}21472	1
http://www.bubugao.com/paycenter-.*-true.html{}21254	3
.*www.bubugao.com/cart-checkout.html.*{}21254	3
.*login.bubugao.com/reg-success.php.*{}21254	3
.*www.bubugao.com/cart.html.*{}21254	3
http://www.uvw.com{}12575	5
.*www.fdno.com.*{}10979	5
(.*3g.2233555.com.*)|(.*3g.2233555.com/zt/fkyy.*)|(.*fk.2233555.com.*)|(.*fk.2233555.com/html/jpks.*){}20094	7
.*z.xiangrikui.com/zw/dz/success.*{}13359	7
.*z.xiangrikui.com/zw/cs/success.*{}13359	7
.*z.xiangrikui.com/zw/cs/step.*{}13359	7
(.*www.fangke3.com.*){}10003	7
(.*www.fangke1.com.*){}10003	7
(.*www.fang12.com.*){}10275	7
(.*www.fang22.com.*){}10275	7
(.*www.fang32.com.*){}10275	7
.*www.nnnn.com.*{}17149	7
.*www.uv.com.*{}17915	7
.*www.99dianwan.com.cn/tuiguang360.php.*{}24495	15
